epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,17.6636,1.762,4.62667,2.13434,0.15155,0.26297,0.0831,0.02552,2.37574,5.42639,3.45799,0.00053979,0.00053979,0.00053979
2,32.7218,1.81425,2.54016,2.12672,0.00217,0.02445,0.00107,0.0003,3.3511,inf,7.12197,0.00105208,0.00105208,0.00105208
3,47.8045,1.86795,2.35941,2.15506,0.08279,0.11702,0.03118,0.00692,2.77708,10.6088,7.47501,0.00152035,0.00152035,0.00152035
4,63.6604,1.8935,2.27779,2.09338,0.05582,0.09362,0.02433,0.00537,3.54768,4.88842,5.13634,0.00146896,0.00146896,0.00146896
5,78.4941,1.8765,2.03432,2.06528,0.03775,0.23733,0.01181,0.00327,3.23223,49.8698,4.88937,0.00140295,0.00140295,0.00140295
6,93.1959,1.76155,1.99917,2.02544,0.2934,0.40146,0.26941,0.09273,2.34683,2.53279,2.87481,0.00133693,0.00133693,0.00133693
7,108.146,1.74335,1.96191,1.98724,0.2762,0.15826,0.22969,0.08524,2.35695,2.51881,2.85272,0.00127092,0.00127092,0.00127092
8,122.622,1.70933,1.94897,1.93733,0.47619,0.42203,0.36924,0.15493,2.34123,1.98568,2.70135,0.00120491,0.00120491,0.00120491
9,137.302,1.68668,1.82861,1.93353,0.44897,0.49851,0.46757,0.17578,2.20141,2.01427,2.6021,0.00113889,0.00113889,0.00113889
10,151.934,1.71375,1.87829,1.95086,0.43287,0.58617,0.47615,0.17668,2.03461,1.91838,2.64332,0.00107288,0.00107288,0.00107288
11,166.958,1.69526,1.86169,1.93952,0.60171,0.49772,0.52097,0.22392,1.92856,1.84379,2.49435,0.00100687,0.00100687,0.00100687
12,181.942,1.63605,1.78438,1.91564,0.76074,0.61182,0.66857,0.28332,1.92361,1.62083,2.51124,0.000940855,0.000940855,0.000940855
13,200.245,1.60397,1.71141,1.88,0.51486,0.58984,0.5593,0.2715,1.91372,1.73154,2.45213,0.000874842,0.000874842,0.000874842
14,218.934,1.58466,1.66004,1.8632,0.55637,0.60535,0.53304,0.21651,2.08673,1.68587,2.48555,0.000808828,0.000808828,0.000808828
15,238.309,1.60614,1.62682,1.87458,0.59377,0.63804,0.64477,0.31343,1.85374,1.60013,2.36522,0.000742815,0.000742815,0.000742815
