epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,15.9953,1.762,4.62667,2.13434,0.15155,0.26297,0.0831,0.02552,2.37574,5.42639,3.45799,0.00053979,0.00053979,0.00053979
2,30.1441,1.79905,2.54835,2.12515,0.0058,0.10584,0.00161,0.0003,4.06219,100.719,25.5606,0.00102316,0.00102316,0.00102316
3,45.7033,1.80211,2.26974,2.08476,0,0,0,0,6.12612,7.13149,22.9931,0.00143318,0.00143318,0.00143318
4,62.3826,1.83567,2.20461,2.06407,0.10941,0.11881,0.05505,0.01792,2.76878,5.96202,3.54583,0.00133693,0.00133693,0.00133693
5,79.2978,1.79096,2.12835,2.02182,0.61504,0.14744,0.1343,0.04863,3.07304,4.24475,3.45554,0.00122691,0.00122691,0.00122691
6,117.038,1.87995,2.04934,2.34392,0.24912,0.37209,0.15802,0.04523,2.85276,44.9314,3.81337,0.00111689,0.00111689,0.00111689
7,131.527,1.89551,1.8602,2.34251,0.1243,0.39386,0.0547,0.019,2.50624,20.374,2.96401,0.00100687,0.00100687,0.00100687
8,145.333,1.88847,1.77865,2.30917,0.28935,0.47153,0.3276,0.10805,2.39093,2.31957,2.78459,0.000896846,0.000896846,0.000896846
9,159.163,1.82055,1.76519,2.26529,0.47413,0.52326,0.4804,0.20206,2.1819,1.79838,2.61393,0.000786824,0.000786824,0.000786824
10,173.912,1.80324,1.61146,2.18916,0.52637,0.59058,0.57955,0.2521,1.93463,1.59465,2.3554,0.000676802,0.000676802,0.000676802
11,189.494,1.76083,1.54882,2.17353,0.52535,0.59675,0.55292,0.26376,1.80702,1.60507,2.29616,0.00056678,0.00056678,0.00056678
12,206.203,1.67275,1.50551,2.09685,0.56159,0.54311,0.57732,0.24551,1.92729,1.55,2.42301,0.000456758,0.000456758,0.000456758
13,223.404,1.6656,1.41766,2.07468,0.59848,0.69842,0.68608,0.3431,1.76915,1.33421,2.21644,0.000346736,0.000346736,0.000346736
14,237.249,1.59009,1.40726,2.02909,0.78318,0.60927,0.74732,0.36955,1.77594,1.33609,2.17032,0.000236714,0.000236714,0.000236714
15,250.962,1.59296,1.3611,2.00356,0.76863,0.66381,0.76791,0.3889,1.67158,1.23329,2.10896,0.000126692,0.000126692,0.000126692
