epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,23.3702,2.43103,5.91718,1.8257,0.31704,0.26866,0.21094,0.05845,2.35192,4.07628,2.52323,0.000654088,0.000654088,0.000654088
2,44.4307,2.19519,1.78105,1.66522,0.00065,0.08706,0.00035,9e-05,3.82071,7.41683,7.48955,0.00126845,0.00126845,0.00126845
3,65.2048,2.27051,1.72879,1.76557,0.20764,0.20398,0.13466,0.03761,2.55468,3.09835,2.65476,0.00183002,0.00183002,0.00183002
4,87.8713,2.21211,1.63124,1.75084,0.32687,0.51338,0.25813,0.07575,2.44414,2.42517,2.36953,0.0017624,0.0017624,0.0017624
5,114.537,2.16116,1.52083,1.67584,0.32128,0.54478,0.33064,0.09722,2.37409,2.53084,2.31234,0.0016832,0.0016832,0.0016832
6,140.418,2.15334,1.47397,1.68476,0.27404,0.66915,0.34031,0.11321,2.27045,2.17682,2.25537,0.001604,0.001604,0.001604
7,165.308,2.12787,1.43039,1.6538,0.40956,0.4193,0.3473,0.10676,2.41675,2.05457,2.34009,0.0015248,0.0015248,0.0015248
8,191.615,2.07571,1.39862,1.62065,0.53155,0.59558,0.5308,0.18023,2.21526,1.66475,2.21563,0.0014456,0.0014456,0.0014456
9,216.677,2.07639,1.3946,1.64093,0.49373,0.47063,0.49316,0.15998,2.33271,1.73616,2.20138,0.0013664,0.0013664,0.0013664
10,241.141,2.06769,1.37383,1.60765,0.48781,0.49751,0.4621,0.14076,2.36739,1.87036,2.22415,0.0012872,0.0012872,0.0012872
11,267.134,1.99236,1.34543,1.57442,0.58976,0.68663,0.59336,0.20213,2.09932,1.61544,2.0427,0.001208,0.001208,0.001208
12,288.851,1.96499,1.3061,1.57633,0.55502,0.70149,0.57291,0.20229,2.10207,1.58082,2.03775,0.0011288,0.0011288,0.0011288
13,313.317,1.96562,1.32373,1.59365,0.60538,0.6144,0.58127,0.2008,2.15062,1.66389,2.15339,0.0010496,0.0010496,0.0010496
14,341.864,1.97333,1.28211,1.57658,0.56221,0.64428,0.61057,0.22,2.00563,1.5437,2.05045,0.0009704,0.0009704,0.0009704
15,363.122,1.94606,1.26963,1.54451,0.61611,0.66418,0.65273,0.25068,2.00924,1.40497,2.03581,0.0008912,0.0008912,0.0008912
16,394.646,1.9144,1.2354,1.62743,0.63139,0.69027,0.67046,0.245,2.02682,1.4887,2.02185,0.000812,0.000812,0.000812
17,417.323,1.9005,1.1998,1.65181,0.62928,0.6756,0.68139,0.27614,1.92041,1.40593,1.95439,0.0007328,0.0007328,0.0007328
18,441.276,1.86242,1.18991,1.61069,0.62328,0.65672,0.64808,0.24628,2.00048,1.47585,2.00411,0.0006536,0.0006536,0.0006536
19,464.724,1.86194,1.13091,1.60395,0.64916,0.56468,0.61815,0.2254,2.17834,1.45659,2.13223,0.0005744,0.0005744,0.0005744
20,490.84,1.82412,1.13975,1.58243,0.64199,0.67413,0.66346,0.25278,2.05865,1.4168,2.05012,0.0004952,0.0004952,0.0004952
21,516.869,1.7805,1.1081,1.55225,0.64563,0.68435,0.682,0.26792,2.00561,1.33569,1.9844,0.000416,0.000416,0.000416
22,541.053,1.77036,1.10441,1.55692,0.68366,0.63437,0.6662,0.26623,2.02274,1.38825,1.97951,0.0003368,0.0003368,0.0003368
23,567.24,1.754,1.06289,1.55141,0.65978,0.68159,0.67395,0.26967,2.04991,1.29952,1.99644,0.0002576,0.0002576,0.0002576
24,592.034,1.7299,1.04587,1.52104,0.69422,0.68657,0.7208,0.28934,2.00652,1.30388,1.97252,0.0001784,0.0001784,0.0001784
25,617.082,1.71607,1.02568,1.51267,0.6896,0.71292,0.72998,0.30142,1.96726,1.28644,1.9591,9.92e-05,9.92e-05,9.92e-05
