epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,14.1343,1.51844,0.35651,1,1.43443,0.0670673,0.000332653,0.000332653
2,26.6133,1.40822,0.32799,1,1.5223,0.0340667,0.000665336,0.000665336
1,14.293,1.32773,0.40374,1,1.37204,0.0670673,0.000332653,0.000332653
2,26.7109,1.22974,0.32264,1,1.67559,0.0340633,0.000661928,0.000661928
3,38.8197,1.23942,0.37166,1,1.48001,0.00104314,0.000975109,0.000975109
4,50.7021,1.24995,0.41087,1,1.46634,0.000946048,0.000946048,0.000946048
5,62.561,1.1854,0.41355,1,1.36404,0.000905463,0.000905463,0.000905463
6,74.2892,1.14804,0.41533,1,1.44613,0.000855018,0.000855018,0.000855018
7,86.1004,1.09982,0.42602,1,1.4088,0.000795954,0.000795954,0.000795954
8,98.1133,1.03912,0.38948,1,1.50109,0.000729725,0.000729725,0.000729725
9,109.88,0.99106,0.41711,1,1.58396,0.000657963,0.000657963,0.000657963
10,121.677,0.94561,0.39929,1,1.61907,0.000582435,0.000582435,0.000582435
11,147.316,0.88362,0.42068,1,1.6039,0.000505,0.000505,0.000505
12,159.334,0.83036,0.41533,1,1.69162,0.000427565,0.000427565,0.000427565
13,171.046,0.76788,0.40998,1,1.76276,0.000352037,0.000352037,0.000352037
14,182.869,0.72847,0.42602,1,1.80941,0.000280275,0.000280275,0.000280275
15,194.707,0.68409,0.41711,1,1.80545,0.000214046,0.000214046,0.000214046
16,206.724,0.66394,0.41533,1,1.89041,0.000154982,0.000154982,0.000154982
17,218.278,0.63097,0.42959,1,1.81724,0.000104537,0.000104537,0.000104537
18,230.188,0.6228,0.40909,1,1.86814,6.39518e-05,6.39518e-05,6.39518e-05
19,241.873,0.59393,0.42424,1,1.84835,3.4227e-05,3.4227e-05,3.4227e-05
20,253.698,0.6013,0.418,1,1.97995,1.60943e-05,1.60943e-05,1.60943e-05
