epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,14.1117,0.60924,0.42157,1,1.92263,0.0700612,0.00332653,0.00332653
2,26.9243,0.6144,0.3984,1,2.10783,0.0400547,0.00665336,0.00665336
3,38.9291,0.74876,0.38592,1,1.90343,0.0100222,0.00995419,0.00995419
4,50.918,0.97615,0.40374,1,1.80311,0.00991232,0.00991232,0.00991232
5,62.6667,0.93921,0.3672,1,2.131,0.00984449,0.00984449,0.00984449
6,74.9164,0.90335,0.41622,1,1.95586,0.00975773,0.00975773,0.00975773
7,86.9979,0.85829,0.39572,1,1.90701,0.00965239,0.00965239,0.00965239
8,99.3289,0.82351,0.35918,1,2.14619,0.00952889,0.00952889,0.00952889
9,111.507,0.82617,0.40107,1,2.06068,0.00938772,0.00938772,0.00938772
10,123.561,0.79166,0.38146,1,2.08198,0.00922942,0.00922942,0.00922942
11,136.01,0.8469,0.41176,1,2.00646,0.00905463,0.00905463,0.00905463
12,148.62,0.82436,0.38324,1,2.10891,0.00886404,0.00886404,0.00886404
13,160.668,0.77038,0.40553,1,2.11409,0.00865839,0.00865839,0.00865839
14,172.404,0.77128,0.39572,1,2.04172,0.00843851,0.00843851,0.00843851
15,184.295,0.72461,0.40107,1,2.13357,0.00820525,0.00820525,0.00820525
16,195.756,0.70589,0.41266,1,2.13588,0.00795954,0.00795954,0.00795954
